date,code,usdprice
#date,#meta+code,#value+usd
1994-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.24
1994-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1994-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1994-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1994-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1994-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1994-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.22
1995-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1995-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1995-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.19
1995-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.19
1995-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1995-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.22
1995-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.22
1995-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1995-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1995-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1995-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.19
1995-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1995-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1995-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1995-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1996-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.22
1996-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.22
1996-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.24
1996-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1996-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.2
1996-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.2
1996-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1996-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1996-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1996-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1996-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1996-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.24
1996-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1996-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1996-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1997-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.34
1997-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1997-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.26
1997-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1997-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1997-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.25
1997-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.25
1997-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.25
1997-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.25
1997-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.25
1997-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.25
1997-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.25
1997-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.25
1997-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.25
1997-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.25
1998-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.32
1998-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.34
1998-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.33
1998-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.33
1998-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.3
1998-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.3
1998-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1998-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1998-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1998-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1998-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1998-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1998-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1998-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1999-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1999-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1999-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1999-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.28
1999-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.22
1999-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.22
1999-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.22
1999-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.22
1999-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1999-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1999-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1999-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1999-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1999-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.21
1999-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1999-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1999-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1999-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1999-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1999-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
1999-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-Retail-INR,0.23
