,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
33763,2015-07-15,,,National Average,1887,,,cereals and tubers,Potatoes,83,KG,actual,Retail,INR,15.78,0.25
33764,2015-07-15,,,National Average,1887,,,cereals and tubers,Rice,52,KG,actual,Retail,INR,27.52,0.43
33765,2015-07-15,,,National Average,1887,,,cereals and tubers,Wheat,84,KG,actual,Retail,INR,22.64,0.36
33766,2015-07-15,,,National Average,1887,,,cereals and tubers,Wheat flour,58,KG,actual,Retail,INR,24.67,0.39
33767,2015-07-15,,,National Average,1887,,,miscellaneous food,Sugar,97,KG,actual,Retail,INR,29.52,0.46
33768,2015-07-15,,,National Average,1887,,,oil and fats,Oil (palm),62,KG,actual,Retail,INR,66.21,1.04
33769,2015-07-15,,,National Average,1887,,,oil and fats,Oil (soybean),306,KG,actual,Retail,INR,82.77,1.3
33770,2015-07-15,,,National Average,1887,,,pulses and nuts,Lentils,108,KG,actual,Retail,INR,60.0,0.94
33771,2015-07-15,,,National Average,1887,,,pulses and nuts,Lentils (masur),61,KG,actual,Retail,INR,82.32,1.3
33772,2015-07-15,,,National Average,1887,,,vegetables and fruits,Tomatoes,114,KG,actual,Retail,INR,28.89,0.45
34486,2015-08-15,,,National Average,1887,,,cereals and tubers,Potatoes,83,KG,actual,Retail,INR,15.75,0.24
34487,2015-08-15,,,National Average,1887,,,cereals and tubers,Rice,52,KG,actual,Retail,INR,27.34,0.42
34488,2015-08-15,,,National Average,1887,,,cereals and tubers,Wheat,84,KG,actual,Retail,INR,22.5,0.34
34489,2015-08-15,,,National Average,1887,,,cereals and tubers,Wheat flour,58,KG,actual,Retail,INR,24.49,0.38
34490,2015-08-15,,,National Average,1887,,,miscellaneous food,Sugar,97,KG,actual,Retail,INR,29.35,0.45
34491,2015-08-15,,,National Average,1887,,,oil and fats,Oil (groundnut),245,KG,actual,Retail,INR,121.48,1.86
34492,2015-08-15,,,National Average,1887,,,oil and fats,Oil (palm),62,KG,actual,Retail,INR,65.16,1.0
34493,2015-08-15,,,National Average,1887,,,oil and fats,Oil (soybean),306,KG,actual,Retail,INR,82.57,1.27
34494,2015-08-15,,,National Average,1887,,,pulses and nuts,Lentils,108,KG,actual,Retail,INR,61.09,0.94
34495,2015-08-15,,,National Average,1887,,,pulses and nuts,Lentils (masur),61,KG,actual,Retail,INR,84.75,1.3
34496,2015-08-15,,,National Average,1887,,,pulses and nuts,Lentils (urad),332,KG,actual,Retail,INR,100.88,1.55
34497,2015-08-15,,,National Average,1887,,,vegetables and fruits,Tomatoes,114,KG,actual,Retail,INR,25.35,0.39
35198,2015-09-15,,,National Average,1887,,,cereals and tubers,Potatoes,83,KG,actual,Retail,INR,15.84,0.24
35199,2015-09-15,,,National Average,1887,,,cereals and tubers,Rice,52,KG,actual,Retail,INR,27.4,0.41
35200,2015-09-15,,,National Average,1887,,,cereals and tubers,Wheat,84,KG,actual,Retail,INR,22.7,0.34
35201,2015-09-15,,,National Average,1887,,,cereals and tubers,Wheat flour,58,KG,actual,Retail,INR,24.62,0.37
35202,2015-09-15,,,National Average,1887,,,miscellaneous food,Salt (iodised),334,KG,actual,Retail,INR,14.9,0.22
35203,2015-09-15,,,National Average,1887,,,miscellaneous food,Sugar,97,KG,actual,Retail,INR,29.84,0.45
35204,2015-09-15,,,National Average,1887,,,oil and fats,Ghee (vanaspati),333,KG,actual,Retail,INR,73.67,1.11
35205,2015-09-15,,,National Average,1887,,,oil and fats,Oil (groundnut),245,KG,actual,Retail,INR,123.57,1.86
35206,2015-09-15,,,National Average,1887,,,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,105.24,1.58
35207,2015-09-15,,,National Average,1887,,,oil and fats,Oil (palm),62,KG,actual,Retail,INR,64.42,0.97
35208,2015-09-15,,,National Average,1887,,,pulses and nuts,Lentils,108,KG,actual,Retail,INR,63.78,0.96
35209,2015-09-15,,,National Average,1887,,,pulses and nuts,Lentils (masur),61,KG,actual,Retail,INR,88.48,1.33
35210,2015-09-15,,,National Average,1887,,,vegetables and fruits,Onions,173,KG,actual,Retail,INR,54.14,0.81
35211,2015-09-15,,,National Average,1887,,,vegetables and fruits,Tomatoes,114,KG,actual,Retail,INR,25.29,0.38
37964,2016-01-15,,,National Average,1887,,,cereals and tubers,Potatoes,83,KG,actual,Retail,INR,15.19,0.22
37965,2016-01-15,,,National Average,1887,,,cereals and tubers,Rice,52,KG,actual,Retail,INR,27.06,0.4
37966,2016-01-15,,,National Average,1887,,,cereals and tubers,Wheat,84,KG,actual,Retail,INR,23.35,0.34
37967,2016-01-15,,,National Average,1887,,,cereals and tubers,Wheat flour,58,KG,actual,Retail,INR,24.58,0.36
37968,2016-01-15,,,National Average,1887,,,miscellaneous food,Salt (iodised),334,KG,actual,Retail,INR,15.19,0.22
37969,2016-01-15,,,National Average,1887,,,miscellaneous food,Sugar,97,KG,actual,Retail,INR,33.15,0.49
37970,2016-01-15,,,National Average,1887,,,miscellaneous food,Sugar (jaggery/gur),331,KG,actual,Retail,INR,39.65,0.59
37971,2016-01-15,,,National Average,1887,,,oil and fats,Ghee (vanaspati),333,KG,actual,Retail,INR,71.51,1.06
37972,2016-01-15,,,National Average,1887,,,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,111.91,1.65
37973,2016-01-15,,,National Average,1887,,,oil and fats,Oil (palm),62,KG,actual,Retail,INR,62.57,0.92
37974,2016-01-15,,,National Average,1887,,,pulses and nuts,Lentils,108,KG,actual,Retail,INR,67.42,0.99
37975,2016-01-15,,,National Average,1887,,,pulses and nuts,Lentils (masur),61,KG,actual,Retail,INR,83.61,1.23
37976,2016-01-15,,,National Average,1887,,,pulses and nuts,Lentils (urad),332,KG,actual,Retail,INR,139.56,2.06
37977,2016-01-15,,,National Average,1887,,,vegetables and fruits,Onions,173,KG,actual,Retail,INR,22.66,0.33
37978,2016-01-15,,,National Average,1887,,,vegetables and fruits,Tomatoes,114,KG,actual,Retail,INR,27.99,0.41
38675,2016-02-15,,,National Average,1887,,,cereals and tubers,Potatoes,83,KG,actual,Retail,INR,14.92,0.22
38676,2016-02-15,,,National Average,1887,,,cereals and tubers,Rice,52,KG,actual,Retail,INR,27.04,0.4
38677,2016-02-15,,,National Average,1887,,,cereals and tubers,Wheat,84,KG,actual,Retail,INR,23.82,0.35
38678,2016-02-15,,,National Average,1887,,,cereals and tubers,Wheat flour,58,KG,actual,Retail,INR,24.98,0.37
38679,2016-02-15,,,National Average,1887,,,miscellaneous food,Salt (iodised),334,KG,actual,Retail,INR,15.01,0.22
38680,2016-02-15,,,National Average,1887,,,miscellaneous food,Sugar,97,KG,actual,Retail,INR,33.92,0.5
38681,2016-02-15,,,National Average,1887,,,miscellaneous food,Sugar (jaggery/gur),331,KG,actual,Retail,INR,39.49,0.58
38682,2016-02-15,,,National Average,1887,,,miscellaneous food,Tea (black),175,KG,actual,Retail,INR,202.81,2.98
38683,2016-02-15,,,National Average,1887,,,oil and fats,Oil (palm),62,KG,actual,Retail,INR,64.11,0.94
38684,2016-02-15,,,National Average,1887,,,pulses and nuts,Lentils,108,KG,actual,Retail,INR,66.05,0.97
38685,2016-02-15,,,National Average,1887,,,pulses and nuts,Lentils (masur),61,KG,actual,Retail,INR,80.33,1.18
