market_id,market,countryiso3,admin1,admin2,latitude,longitude
#loc+market+code,#loc+market+name,#country+code,#adm1+name,#adm2+name,#geo+lat,#geo+lon
921,Agartala,IND,Tripura,West Tripura,23.84,91.28
922,Agra,IND,Uttar Pradesh,Agra,27.18,78.02
923,Ahmedabad,IND,Gujarat,Ahmadabad,23.03,72.62
924,Aizawl,IND,Mizoram,Aizawl,23.72,92.71
925,Amritsar,IND,Punjab,Amritsar,31.63,74.87
926,Bengaluru,IND,Karnataka,Bangalore Urban,12.96,77.58
927,Bhagalpur,IND,Bihar,Banka,24.88,86.92
928,Bhopal,IND,Madhya Pradesh,Bhopal,23.27,77.4
929,Bhubaneshwar,IND,Orissa,Khordha,20.23,85.83
930,Chandigarh,IND,Chandigarh,Chandigarh,30.73,76.79
931,Chennai,IND,Tamil Nadu,Chennai,13.08,80.28
932,Cuttack,IND,Orissa,Cuttack,20.5,85.83
933,Dehradun,IND,Uttarakhand,Dehra Dun,30.32,78.03
934,Delhi,IND,Delhi,Delhi,28.67,77.22
935,Dharwad,IND,Karnataka,Dharwad,15.47,75.02
936,Dimapur,IND,Nagaland,Dimapur,25.9,93.73
937,Dindigul,IND,Tamil Nadu,Dindigul,10.35,77.95
938,Ernakulam,IND,Kerala,Ernakulam,9.98,76.28
939,Guwahati,IND,Assam,Kamrup,26.18,91.73
940,Hisar,IND,Haryana,Hisar,29.17,75.72
941,Hyderabad,IND,Telangana,Hyderabad,17.38,78.47
942,Indore,IND,Madhya Pradesh,Indore,22.72,75.83
944,Jaipur,IND,Rajasthan,Bikaner,28.88,74.07
946,Jodhpur,IND,Rajasthan,Jodhpur,26.29,73.03
947,Kanpur,IND,Uttar Pradesh,Kanpur,26.47,80.35
948,Karnal,IND,Haryana,Karnal,29.68,76.98
949,Kohima,IND,Nagaland,Kohima,25.67,94.12
950,Kolkata,IND,West Bengal,Kolkata,22.57,88.37
951,Kota,IND,Rajasthan,Kota,25.18,75.83
